Date,FRR,Filename_x,Chunk Number,Peak Height,Bead_number,Droplet_r,bead_d,adjusted_drop_r,Radius,Theta,Bead Section,Filename_y,IDD,dropR,beadR,beadTheta
915,6.67,6.67_0915_poutput_data4.csv,45,20.297,78,25.56103856,14.66,51.47,7.729610404,75.96914992,TC,6.67_0915_o4_b78.mp4,5.1,6.0,6,31.0
913,5.33,5.33_0913_poutput_data8.csv,11,20.311,65,32.63551708,14.66,65.61,4.191733054,63.42883597,TL,5.33_0913_o8_b65.mp4,4.0,11.0,3,18.4
913,5.33,5.33_0913_poutput_data6.csv,10,14.031,70,35.90031907,14.66,72.14,29.997,0.0,CL,5.33_0913_o6_b70.mp4,4.3,9.0,9,353.7
913,5.33,5.33_0913_poutput_data5.csv,21,20.309,64,37.54544973,14.66,75.43,13.25683793,315.0,BL,5.33_0913_o5_b64.mp4,3.8,8.0,4,326.3
913,5.33,5.33_0913_poutput_data4.csv,12,11.14,73,37.60499853,14.66,75.55,27.29725279,195.9451076,CR,5.33_0913_o4_b73.mp4,4.1,9.0,4,180.0
913,5.33,5.33_0913_poutput_data3.csv,10,20.312,63,37.60499853,14.66,75.55,21.21037501,135.0,TR,5.33_0913_o3_b63.mp4,3.1,11.0,11,165.0
913,5.33,5.33_0913_poutput_data2.csv,8,6.188,74,35.0168709,14.66,70.38,16.01778324,249.4447921,BR,5.33_0913_o2_b74.mp4,3.3,11.0,2,270.0
913,5.33,5.33_0913_poutput_data1.csv,10,11.485,72,37.60499853,14.66,75.55,21.86384012,239.035794,BR,5.33_0913_o1_b72.mp4,2.6,12.0,10,216.9
913,5.33,5.33_0913_poutput_data15.csv,3,5.909,75,31.73169945,14.66,63.81,13.2572622,261.8692864,BC,5.33_0913_o15_b75.mp4,4.0,7.0,1,180.0
913,5.33,5.33_0913_poutput_data14.csv,3,20.303,67,33.84714333,14.66,68.04,8.383913287,63.43800509,TL,5.33_0913_o14_b67.mp4,3.3,8.0,7,116.6
913,5.33,5.33_0913_poutput_data13.csv,12,20.304,66,31.09058832,14.66,62.52,22.88368716,34.99222532,TL,5.33_0913_o13_b66.mp4,3.4,9.0,9,35.5
913,5.33,5.33_0913_poutput_data12.csv,2,12.364,71,31.73169945,14.66,63.81,20.70706423,354.8048196,CL,5.33_0913_o12_b71.mp4,2.2,9.0,4,346.0
913,5.33,5.33_0913_poutput_data10.csv,14,16.873,68,31.73169945,14.66,63.81,14.27773631,113.2017521,TR,5.33_0913_o10_b68.mp4,2.6,14.0,7,33.7
911,4.0,4.0_0911_poutput_data23.csv,7,20.343,60,36.64061044,14.66,73.62,23.49144802,331.3893457,BL,4_0911_o23_b60.mp4,3.9,9.0,4,333.4
911,4.0,4.0_0911_poutput_data23.csv,26,20.343,59,33.84714333,14.66,68.04,29.996,0.0,CL,4_0911_o23_b59.mp4,2.8,9.0,5,0.0
911,4.0,4.0_0911_poutput_data22.csv,10,3.575,62,40.47087655,14.66,81.29,38.64999213,194.0362435,CR,4_0911_o22_b62.mp4,4.0,10.0,6,189.5
911,4.0,4.0_0911_poutput_data21.csv,51,14.233,61,36.64061044,14.66,73.62,20.96099067,169.6968649,CR,4_0911_o21_b61.mp4,5.0,10.0,5,201.8
915,3.67,3.67_0915_poutput_data19.csv,13,2.584,77,45.37127251,14.66,91.09,28.01791522,358.4006262,CL,3.67_0915_o19_b77.mp4,3.0,11.0,3,341.6
911,2.0,2.0_0911_poutput_data9.csv,6,2.463,30,48.74715866,14.66,97.84,24.47440173,154.163645,TR,2_0911_o9_b30.mp4,3.1,13.0,6,218.7
911,2.0,2.0_0911_poutput_data8.csv,6,10.609,24,45.61718933,14.66,91.58,21.75991565,80.88268289,TC,2_0911_o8_b24.mp4,3.0,13.0,10,156.0
911,2.0,2.0_0911_poutput_data7.csv,29,20.341,13,42.20302511,14.66,84.75,23.32552773,129.2621,TR,2_0911_o7_b13.mp4,2.6,11.0,5,126.9
911,2.0,2.0_0911_poutput_data5.csv,20,2.888,28,45.86178754,14.66,92.07,27.8946869,6.667958146,CL,2_0911_o5_b28.mp4,3.0,12.0,13,331.4
911,2.0,2.0_0911_poutput_data2.csv,27,12.728,22,41.4541152,14.66,83.25,13.51859849,56.30875698,TL,2_0911_o2_b22.mp4,2.7,10.0,3,90.0
911,2.0,2.0_0911_poutput_data10.csv,11,4.599,25,48.97612757,14.66,98.3,32.89267476,187.6751039,CR,2_0911_o10_b25.mp4,2.9,12.0,10,156.0
911,2.0,2.0_0911_poutput_data10.csv,5,20.337,14,47.49165477,14.66,95.33,36.47429578,176.0351436,CR,2_0911_o10_b14.mp4,3.3,12.0,3,135.0
904,2.0,2.0_0904_poutput_data19.csv,9,0.606,9,49.29489732,14.66,98.93,25.67132759,277.4262119,BC,2_0904_o19_b9.mp4,3.3,12.0,4,315.0
904,2.0,2.0_0904_poutput_data18.csv,17,10.244,6,46.15722876,14.66,92.66,34.60240444,176.9070591,CR,2_0904_o18_b6.mp4,3.3,13.0,2,153.4
904,2.0,2.0_0904_poutput_data14.csv,7,2.916,3,44.42787529,14.66,89.2,33.07168984,99.37459864,TC,2_0904_o15_b3.mp4,3.5,11.0,9,125.5
904,2.0,2.0_0904_poutput_data11.csv,8,1.262,8,44.878932,14.66,90.1,16.31854666,346.595629,CL,2_0904_o11_b8.mp4,3.2,12.0,6,329.0
911,2.67,2.67_0911_poutput_data20.csv,51,3.596,54,43.4568542,14.66,87.26,31.04443731,320.7833127,BL,2.67_0911_o20_b54.mp4,1.4,12.0,12,329.0
