i,filename, IDD, droplet radius, bead r, bead theta
0,1_0818_r1_o9_b32.mp4, 11.1, 5.0, 1, 225.0
1, 1_0818_r1_o5_b14.mp4, 9.5, 5.0, 4, 303.7
2, 1_0818_r2_o17_b66.mp4, 7.9, 6.0, 4, 104.0
3,1_0818_r2_o17_b66.mp4, 7.6, 6.0, 5, 53.1
5, 1_0818_r2_o2_b53_54.mp4, 6.9, 6.0, 4, 284.0
6, 1_0818_r2_o6_b51.mp4, 8.3, 7.0, 1, 90.0
7, 1_0818_r2_o21_b61.mp4, 7.4, 6.0, 5, 216.9
8, 1_0818_r1_o20_b17.mp4, 7.0, 6.0, 3, 180.0
9, 1_0818_r2_o7_b44.mp4, 8.4, 6.0, 3, 0.0
10, 1_0818_r2_o7_b45.mp4, 8.1, 7.0, 3, 198.4
11, 1_0818_r1_o13_b25.mp4, 10.8, 5.0, 3, 18.4
12, 1_0818_r2_o16_b73.mp4, 7.7, 6.0, 1, 225.0
13, 1_0818_r1_o9_b20.mp4, 12.6, 5.0, 4, 303.7
14, 1_0818_r1_o8_b19.mp4, 13.3, 5.0, 3, 90.0
15, 1_0818_r2_o17_b60.mp4, 8.1, 6.0, 2, 90.0
16, 1_0818_r1_o12_b36.mp4, 15.2, 5.0, 4, 243.4
17, 1_0818_r1_o12_b22.mp4, 11.9, 5.0, 3, 0.0
18, 1_0818_r1_o20_b15.mp4, 6.4, 6.0, 4, 346.0
19, 1_0818_r1_o8_b26.mp4, 12.3, 5.0, 3, 251.6
20, 1_0818_r2_o10_b46.mp4, 8.9, 6.0, 3, 0.0
21, 1_0818_r1_o8_b3.mp4, 11.9, 5.0, 3, 341.6
22, 1_0818_r2_o10_b47.mp4, 8.2, 6.0, 4, 146.3
23, 1_0818_r2_o13_b71_n_49_n.mp4, 8.2, 6.0, 4, 284.0
24, 1_0818_r1_o14_b10_40.mp4, 11.7, 5.0, 4, 0.0
25, 1_0818_r1_o18_b18.mp4, 11.1, 5.0, 3, 288.4
26, 1_0818_r2_o14_b70.mp4, 7.4, 6.0, 3, 270.0
27, 1_0818_r2_o1_b72.mp4, 7.7, 6.0, 1, 90.0
28, 1_0818_r1_o11_b6.mp4, 12.1, 5.0, 4, 213.7
